"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
14 Apr 2018 16:26:42.000,136630361.585375,56927068.075118,24677026.869460,-11.835271,24.999162,10.836618
14 Apr 2018 16:56:42.000,136609049.351747,56972062.936190,24696531.212820,-11.844989,24.995128,10.834874
14 Apr 2018 17:26:42.000,136587719.627312,57017050.532205,24716032.415372,-11.854705,24.991090,10.833128
14 Apr 2018 17:56:42.000,136566372.415104,57062030.857079,24735530.474506,-11.864420,24.987049,10.831381
14 Apr 2018 18:26:42.000,136545007.718164,57107003.904721,24755025.387617,-11.874132,24.983004,10.829633
14 Apr 2018 18:56:42.000,136523625.539539,57151969.669039,24774517.152096,-11.883844,24.978956,10.827883
14 Apr 2018 19:26:42.000,136502225.882277,57196928.143952,24794005.765337,-11.893553,24.974905,10.826131
14 Apr 2018 19:56:42.000,136480808.749435,57241879.323369,24813491.224733,-11.903261,24.970850,10.824379
14 Apr 2018 20:26:42.000,136459374.144069,57286823.201210,24832973.527676,-11.912967,24.966792,10.822624
14 Apr 2018 20:56:42.000,136437922.069246,57331759.771389,24852452.671560,-11.922671,24.962730,10.820868
14 Apr 2018 21:26:42.000,136416452.528035,57376689.027818,24871928.653780,-11.932374,24.958665,10.819111
14 Apr 2018 21:56:42.000,136394965.523507,57421610.964421,24891401.471728,-11.942075,24.954597,10.817353
14 Apr 2018 22:26:42.000,136373461.058743,57466525.575113,24910871.122798,-11.951774,24.950525,10.815593
14 Apr 2018 22:56:42.000,136351939.136827,57511432.853809,24930337.604386,-11.961472,24.946450,10.813831
14 Apr 2018 23:26:42.000,136330399.760844,57556332.794437,24949800.913884,-11.971168,24.942372,10.812068
14 Apr 2018 23:56:42.000,136308842.933887,57601225.390914,24969261.048689,-11.980862,24.938290,10.810304
15 Apr 2018 00:26:42.000,136287268.658739,57646110.637914,24988718.006186,-11.990554,24.934205,10.808538
15 Apr 2018 00:56:42.000,136265676.939137,57690988.527851,25008171.783777,-12.000245,24.930117,10.806770
15 Apr 2018 01:26:42.000,136244067.777867,57735859.055411,25027622.378860,-12.009934,24.926025,10.805002
15 Apr 2018 01:56:42.000,136222441.178046,57780722.214506,25047069.788829,-12.019621,24.921929,10.803231
15 Apr 2018 02:26:42.000,136200797.142787,57825577.999068,25066514.011080,-12.029307,24.917831,10.801460
15 Apr 2018 02:56:42.000,136179135.675211,57870426.403026,25085955.043009,-12.038990,24.913729,10.799687
15 Apr 2018 03:26:42.000,136157456.778446,57915267.420305,25105392.882013,-12.048672,24.909623,10.797912
15 Apr 2018 03:56:42.000,136135760.455624,57960101.044831,25124827.525487,-12.058353,24.905515,10.796136
15 Apr 2018 04:26:42.000,136114046.709879,58004927.270539,25144258.970829,-12.068031,24.901402,10.794359
15 Apr 2018 04:56:42.000,136092315.544354,58049746.091354,25163687.215436,-12.077708,24.897287,10.792580
15 Apr 2018 05:26:42.000,136070566.962191,58094557.501213,25183112.256705,-12.087383,24.893168,10.790799
15 Apr 2018 05:56:42.000,136048800.966544,58139361.494047,25202534.092033,-12.097056,24.889046,10.789017
15 Apr 2018 06:26:42.000,136027017.560568,58184158.063786,25221952.718819,-12.106728,24.884920,10.787234
15 Apr 2018 06:56:42.000,136005216.747421,58228947.204372,25241368.134460,-12.116398,24.880791,10.785450
15 Apr 2018 07:26:42.000,135983398.530270,58273728.909737,25260780.336355,-12.126066,24.876659,10.783663
15 Apr 2018 07:56:42.000,135961562.912286,58318503.173816,25280189.321903,-12.135732,24.872523,10.781876
15 Apr 2018 08:26:42.000,135939709.896640,58363269.990554,25299595.088502,-12.145396,24.868384,10.780087
15 Apr 2018 08:56:42.000,135917839.486515,58408029.353886,25318997.633553,-12.155059,24.864241,10.778296
15 Apr 2018 09:26:42.000,135895951.685095,58452781.257752,25338396.954454,-12.164720,24.860096,10.776505
15 Apr 2018 09:56:42.000,135874046.495570,58497525.696095,25357793.048606,-12.174379,24.855946,10.774711
15 Apr 2018 10:26:42.000,135852123.921130,58542262.662866,25377185.913409,-12.184037,24.851794,10.772916
15 Apr 2018 10:56:42.000,135830183.964980,58586992.151996,25396575.546264,-12.193692,24.847638,10.771120
15 Apr 2018 11:26:42.000,135808226.630322,58631714.157438,25415961.944571,-12.203346,24.843479,10.769322
15 Apr 2018 11:56:42.000,135786251.920364,58676428.673142,25435345.105733,-12.212998,24.839316,10.767523
15 Apr 2018 12:26:42.000,135764259.838320,58721135.693053,25454725.027150,-12.222648,24.835150,10.765723
15 Apr 2018 12:56:42.000,135742250.387410,58765835.211118,25474101.706226,-12.232297,24.830981,10.763921
15 Apr 2018 13:26:42.000,135720223.570857,58810527.221294,25493475.140362,-12.241943,24.826808,10.762117
15 Apr 2018 13:56:42.000,135698179.391891,58855211.717526,25512845.326961,-12.251588,24.822632,10.760312
15 Apr 2018 14:26:42.000,135676117.853742,58899888.693776,25532212.263427,-12.261231,24.818452,10.758506
15 Apr 2018 14:56:42.000,135654038.959652,58944558.143994,25551575.947163,-12.270873,24.814269,10.756698
15 Apr 2018 15:26:42.000,135631942.712863,58989220.062135,25570936.375574,-12.280512,24.810083,10.754889
